START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
"Friday, January 15, 2016","Friday, January 15, 2016",Business,Durham,Cary,10.4,Meal/Entertain
"Monday, January 18, 2016","Monday, January 18, 2016",Business,Cary,Cary,4.8,Meal/Entertain
"Monday, January 18, 2016","Monday, January 18, 2016",Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain
"Tuesday, January 19, 2016","Tuesday, January 19, 2016",Business,Whitebridge,Lake Wellingborough,7.2,
"Tuesday, January 19, 2016","Tuesday, January 19, 2016",Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site
"Wednesday, January 20, 2016","Wednesday, January 20, 2016",Business,Cary,Raleigh,17.1,Meeting
"Wednesday, January 20, 2016","Wednesday, January 20, 2016",Business,Fayetteville Street,Umstead,15.1,Meeting
"Wednesday, January 20, 2016","Wednesday, January 20, 2016",Business,Raleigh,Cary,40.2,Customer Visit
"Thursday, January 21, 2016","Thursday, January 21, 2016",Business,Cary,Cary,1.6,Errand/Supplies
"Thursday, January 21, 2016","Thursday, January 21, 2016",Business,Cary,Cary,2.4,Meal/Entertain
"Thursday, January 21, 2016","Thursday, January 21, 2016",Business,Cary,Cary,1,Meal/Entertain
"Tuesday, January 26, 2016","Tuesday, January 26, 2016",Business,Whitebridge,Hazelwood,2,Meal/Entertain
"Tuesday, January 26, 2016","Tuesday, January 26, 2016",Business,Hazelwood,Whitebridge,2.3,Errand/Supplies
"Tuesday, January 26, 2016","Tuesday, January 26, 2016",Business,Whitebridge,Westpark Place,1.9,Errand/Supplies
"Tuesday, January 26, 2016","Tuesday, January 26, 2016",Business,Cary,Cary,1.4,Errand/Supplies
"Tuesday, January 26, 2016","Tuesday, January 26, 2016",Business,Cary,Cary,0.5,Errand/Supplies
"Wednesday, January 27, 2016","Wednesday, January 27, 2016",Business,Cary,Cary,1.8,Meeting
"Wednesday, January 27, 2016","Wednesday, January 27, 2016",Business,Cary,Raleigh,18.7,Customer Visit
"Wednesday, January 27, 2016","Wednesday, January 27, 2016",Business,Fairmont,Meredith Townes,3.4,Customer Visit
"Wednesday, January 27, 2016","Wednesday, January 27, 2016",Business,Raleigh,Raleigh,2.7,Customer Visit
"Wednesday, January 27, 2016","Wednesday, January 27, 2016",Business,Raleigh,Cary,12.9,Customer Visit
"Thursday, January 28, 2016","Thursday, January 28, 2016",Business,Cary,Raleigh,19,Temporary Site
"Thursday, January 28, 2016","Thursday, January 28, 2016",Business,Meredith Townes,Leesville Hollow,14.7,Meeting
"Thursday, January 28, 2016","Thursday, January 28, 2016",Business,Raleigh,Cary,15.7,Meeting
"Friday, January 29, 2016","Friday, January 29, 2016",Business,Cary,Cary,4.6,Customer Visit
"Friday, January 29, 2016","Friday, January 29, 2016",Business,Cary,Cary,5.2,Meeting
"Friday, January 29, 2016","Friday, January 29, 2016",Business,Cary,Durham,10.4,Meeting
"Friday, January 29, 2016","Friday, January 29, 2016",Business,Durham,Cary,10.1,Meeting
"Friday, January 29, 2016","Friday, January 29, 2016",Business,Cary,Apex,5.8,Errand/Supplies
"Friday, January 29, 2016","Friday, January 29, 2016",Business,Apex,Cary,5.5,Meal/Entertain
"Saturday, January 30, 2016","Saturday, January 30, 2016",Business,Cary,Apex,5.7,Errand/Supplies
"Saturday, January 30, 2016","Saturday, January 30, 2016",Business,Apex,Cary,5.7,Customer Visit
"Monday, February 1, 2016","Monday, February 1, 2016",Business,Cary,Chapel Hill,19.4,Customer Visit
"Monday, February 1, 2016","Monday, February 1, 2016",Business,Chapel Hill,Cary,23.3,Customer Visit
"Monday, February 1, 2016","Monday, February 1, 2016",Business,Northwoods,Whitebridge,3.9,Meal/Entertain
"Tuesday, February 2, 2016","Tuesday, February 2, 2016",Business,Whitebridge,Williamsburg Manor,8.3,Meeting
"Tuesday, February 2, 2016","Tuesday, February 2, 2016",Business,Cary,Cary,6,Errand/Supplies
"Tuesday, February 2, 2016","Tuesday, February 2, 2016",Business,Cary,Cary,1.6,Errand/Supplies
"Thursday, February 4, 2016","Thursday, February 4, 2016",Business,Cary,Morrisville,5.2,Errand/Supplies
"Thursday, February 4, 2016","Thursday, February 4, 2016",Business,Morrisville,Cary,9.7,Meal/Entertain
"Thursday, February 4, 2016","Thursday, February 4, 2016",Business,Cary,Cary,1.6,Meal/Entertain
"Thursday, February 4, 2016","Thursday, February 4, 2016",Business,Cary,Cary,1.1,Meal/Entertain
"Thursday, February 4, 2016","Thursday, February 4, 2016",Business,Cary,Cary,1.6,Meal/Entertain
"Thursday, February 4, 2016","Thursday, February 4, 2016",Business,Whitebridge,Macgregor Downs,9,Meeting
"Thursday, February 4, 2016","Thursday, February 4, 2016",Business,Cary,Cary,7.7,Meeting
"Friday, February 5, 2016","Friday, February 5, 2016",Business,Cary,Durham,10.4,Meeting
"Friday, February 5, 2016","Friday, February 5, 2016",Business,Durham,Cary,10.4,Meeting
"Saturday, February 6, 2016","Saturday, February 6, 2016",Business,Cary,Raleigh,11.4,Between Offices
"Saturday, February 6, 2016","Saturday, February 6, 2016",Business,Raleigh,Cary,9,Errand/Supplies
"Saturday, February 6, 2016","Saturday, February 6, 2016",Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain
"Sunday, February 7, 2016","Sunday, February 7, 2016",Business,Cary,Apex,5.6,Errand/Supplies
"Sunday, February 7, 2016","Sunday, February 7, 2016",Business,Apex,Cary,5.7,Customer Visit
"Sunday, February 7, 2016","Sunday, February 7, 2016",Business,Cary,Morrisville,6.1,Temporary Site
"Sunday, February 7, 2016","Sunday, February 7, 2016",Business,Morrisville,Cary,6.1,Meeting
"Monday, February 8, 2016","Monday, February 8, 2016",Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain
"Monday, February 8, 2016","Monday, February 8, 2016",Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain
"Tuesday, February 9, 2016","Tuesday, February 9, 2016",Personal,Whitebridge,Northwoods,5.3,
"Tuesday, February 9, 2016","Tuesday, February 9, 2016",Personal,Northwoods,Tanglewood,3,
"Tuesday, February 9, 2016","Tuesday, February 9, 2016",Personal,Tanglewood,Preston,5.1,
"Tuesday, February 9, 2016","Tuesday, February 9, 2016",Personal,Preston,Whitebridge,1.5,
"Tuesday, February 9, 2016","Tuesday, February 9, 2016",Business,Cary,Morrisville,6.1,
"Tuesday, February 9, 2016","Tuesday, February 9, 2016",Business,Morrisville,Cary,6.1,Meal/Entertain
"Thursday, February 11, 2016","Thursday, February 11, 2016",Business,Cary,Raleigh,17.3,Meal/Entertain
"Thursday, February 11, 2016","Thursday, February 11, 2016",Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain
"Thursday, February 11, 2016","Thursday, February 11, 2016",Business,Raleigh,Morrisville,13.5,Temporary Site
"Thursday, February 11, 2016","Thursday, February 11, 2016",Business,Morrisville,Cary,6.1,Temporary Site
"Friday, February 12, 2016","Friday, February 12, 2016",Business,Cary,Durham,8.5,Temporary Site
"Friday, February 12, 2016","Friday, February 12, 2016",Business,Durham,Morrisville,2.6,Temporary Site
"Friday, February 12, 2016","Friday, February 12, 2016",Business,Morrisville,Raleigh,17,Customer Visit
"Friday, February 12, 2016","Friday, February 12, 2016",Business,Raleigh,Cary,18,Meeting
"Friday, February 12, 2016","Friday, February 12, 2016",Business,Cary,Morrisville,8.4,Meeting
"Friday, February 12, 2016","Friday, February 12, 2016",Business,Morrisville,Cary,11.5,Customer Visit
"Saturday, February 13, 2016","Saturday, February 13, 2016",Business,Cary,Morrisville,8.9,Meeting
"Saturday, February 13, 2016","Sunday, February 14, 2016",Personal,East Elmhurst,Jackson Heights,2.7,
"Sunday, February 14, 2016","Sunday, February 14, 2016",Personal,Jackson Heights,East Elmhurst,1.8,
"Sunday, February 14, 2016","Sunday, February 14, 2016",Business,East Elmhurst,New York,8.1,Meeting
"Sunday, February 14, 2016","Sunday, February 14, 2016",Business,Midtown,Midtown West,2,Meeting
"Sunday, February 14, 2016","Sunday, February 14, 2016",Business,New York,Long Island City,13,Meeting
"Sunday, February 14, 2016","Sunday, February 14, 2016",Business,Long Island City,Jamaica,13.9,Meeting
"Tuesday, February 16, 2016","Tuesday, February 16, 2016",Business,Katunayaka,Unknown Location,43.7,Customer Visit
"Tuesday, February 16, 2016","Tuesday, February 16, 2016",Business,Unknown Location,Colombo,14.1,
"Tuesday, February 16, 2016","Tuesday, February 16, 2016",Business,Colombo,Colombo,2.6,
"Tuesday, February 16, 2016","Tuesday, February 16, 2016",Business,Colombo,Colombo,4.5,
"Tuesday, February 16, 2016","Tuesday, February 16, 2016",Business,Colombo,Colombo,1.7,
"Tuesday, February 16, 2016","Tuesday, February 16, 2016",Business,Colombo,Colombo,1.8,Temporary Site
"Tuesday, February 16, 2016","Tuesday, February 16, 2016",Business,Colombo,Colombo,6,
"Tuesday, February 16, 2016","Tuesday, February 16, 2016",Business,Colombo,Nugegoda,1.1,Meal/Entertain
"Tuesday, February 16, 2016","Tuesday, February 16, 2016",Business,Nugegoda,Unknown Location,3.6,Errand/Supplies
"Wednesday, February 17, 2016","Wednesday, February 17, 2016",Business,Unknown Location,Colombo,14.7,Temporary Site
"Wednesday, February 17, 2016","Wednesday, February 17, 2016",Business,Colombo,Colombo,1.7,Meal/Entertain
"Wednesday, February 17, 2016","Wednesday, February 17, 2016",Business,Colombo,Katunayaka,21.4,Temporary Site
"Wednesday, February 17, 2016","Wednesday, February 17, 2016",Business,Katunayaka,Katunayaka,0.5,Errand/Supplies
"Thursday, February 18, 2016","Thursday, February 18, 2016",Business,Unknown Location,Unknown Location,23.5,Temporary Site
"Thursday, February 18, 2016","Thursday, February 18, 2016",Business,Unknown Location,Islamabad,12.7,Temporary Site
"Thursday, February 18, 2016","Thursday, February 18, 2016",Business,Islamabad,Unknown Location,6,Temporary Site
"Thursday, February 18, 2016","Thursday, February 18, 2016",Business,Unknown Location,Islamabad,5.2,Customer Visit
"Thursday, February 18, 2016","Thursday, February 18, 2016",Business,Islamabad,Unknown Location,10,Meeting
"Friday, February 19, 2016","Friday, February 19, 2016",Business,Unknown Location,Unknown Location,18.3,Meeting
"Friday, February 19, 2016","Friday, February 19, 2016",Business,Unknown Location,Unknown Location,11.2,Meeting
"Friday, February 19, 2016","Friday, February 19, 2016",Business,Unknown Location,Islamabad,7.6,Meeting
"Friday, February 19, 2016","Friday, February 19, 2016",Personal,Islamabad,Islamabad,1.5,
"Friday, February 19, 2016","Friday, February 19, 2016",Personal,Islamabad,Islamabad,1,
"Friday, February 19, 2016","Friday, February 19, 2016",Business,Islamabad,Unknown Location,7.3,Temporary Site
"Friday, February 19, 2016","Friday, February 19, 2016",Business,Unknown Location,Islamabad,3.5,
"Friday, February 19, 2016","Friday, February 19, 2016",Business,Islamabad,Islamabad,4.2,
"Friday, February 19, 2016","Friday, February 19, 2016",Personal,Islamabad,Unknown Location,13.6,
"Friday, February 19, 2016","Friday, February 19, 2016",Personal,Unknown Location,Unknown Location,2.5,
"Saturday, February 20, 2016","Saturday, February 20, 2016",Personal,Unknown Location,Islamabad,14.4,
"Saturday, February 20, 2016","Saturday, February 20, 2016",Personal,Islamabad,Islamabad,3,
"Saturday, February 20, 2016","Saturday, February 20, 2016",Personal,Islamabad,Islamabad,1.5,
"Saturday, February 20, 2016","Saturday, February 20, 2016",Business,Islamabad,R?walpindi,18.4,
"Saturday, February 20, 2016","Saturday, February 20, 2016",Business,R?walpindi,R?walpindi,23.1,Meeting
"Saturday, February 20, 2016","Saturday, February 20, 2016",Personal,R?walpindi,Unknown Location,16.5,
"Saturday, February 20, 2016","Saturday, February 20, 2016",Business,Unknown Location,Unknown Location,3.2,Errand/Supplies
"Saturday, February 20, 2016","Saturday, February 20, 2016",Business,Unknown Location,Unknown Location,7.7,Errand/Supplies
"Sunday, February 21, 2016","Sunday, February 21, 2016",Business,Unknown Location,Islamabad,14.5,
"Sunday, February 21, 2016","Sunday, February 21, 2016",Business,Unknown Location,Islamabad,2.4,Errand/Supplies
"Sunday, February 21, 2016","Sunday, February 21, 2016",Business,Islamabad,Islamabad,4.6,Errand/Supplies
"Sunday, February 21, 2016","Sunday, February 21, 2016",Business,Islamabad,Unknown Location,8.8,Meal/Entertain
"Sunday, February 21, 2016","Sunday, February 21, 2016",Business,Unknown Location,Unknown Location,8.3,Temporary Site
"Sunday, February 21, 2016","Sunday, February 21, 2016",Business,Unknown Location,Unknown Location,22.7,Temporary Site
"Sunday, February 21, 2016","Sunday, February 21, 2016",Business,Unknown Location,Islamabad,13,Temporary Site
"Sunday, February 21, 2016","Sunday, February 21, 2016",Business,Islamabad,Noorpur Shahan,8.1,Temporary Site
"Sunday, February 21, 2016","Sunday, February 21, 2016",Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain
"Sunday, February 21, 2016","Sunday, February 21, 2016",Business,Unknown Location,Unknown Location,9.7,
"Sunday, February 21, 2016","Sunday, February 21, 2016",Business,Unknown Location,R?walpindi,20,Meeting
"Monday, February 22, 2016","Monday, February 22, 2016",Business,Morrisville,Cary,8.1,Customer Visit
"Wednesday, February 24, 2016","Wednesday, February 24, 2016",Business,Whitebridge,Preston,1.5,
"Wednesday, February 24, 2016","Wednesday, February 24, 2016",Business,Preston,Whitebridge,1.7,Errand/Supplies
"Thursday, February 25, 2016","Thursday, February 25, 2016",Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies
"Thursday, February 25, 2016","Thursday, February 25, 2016",Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies
"Thursday, February 25, 2016","Thursday, February 25, 2016",Business,Whitebridge,Tanglewood,6,Meal/Entertain
"Thursday, February 25, 2016","Thursday, February 25, 2016",Business,Tanglewood,Whitebridge,5.8,Meal/Entertain
"Friday, February 26, 2016","Friday, February 26, 2016",Business,Whitebridge,Westpark Place,6.3,
"Friday, February 26, 2016","Friday, February 26, 2016",Personal,Westpark Place,Whitebridge,1.7,
"Friday, February 26, 2016","Friday, February 26, 2016",Business,Cary,Durham,10.6,Meeting
"Friday, February 26, 2016","Friday, February 26, 2016",Business,Durham,Cary,9.9,Meeting
"Friday, February 26, 2016","Friday, February 26, 2016",Personal,Whitebridge,Westpark Place,1.9,
"Friday, February 26, 2016","Friday, February 26, 2016",Personal,Westpark Place,Hazelwood,4.2,
"Friday, February 26, 2016","Friday, February 26, 2016",Personal,Hazelwood,Whitebridge,2,
"Sunday, February 28, 2016","Sunday, February 28, 2016",Business,Whitebridge,Waverly Place,7.7,Meeting
"Sunday, February 28, 2016","Sunday, February 28, 2016",Business,Waverly Place,Whitebridge,6.8,Meeting
"Monday, February 29, 2016","Monday, February 29, 2016",Personal,Whitebridge,Westpark Place,2.1,
"Monday, February 29, 2016","Monday, February 29, 2016",Business,Cary,Apex,3.8,Meeting
"Monday, February 29, 2016","Monday, February 29, 2016",Business,Apex,Cary,5.6,Meeting
"Monday, February 29, 2016","Monday, February 29, 2016",Business,Whitebridge,Hazelwood,2.6,
"Monday, February 29, 2016","Monday, February 29, 2016",Business,Hazelwood,Whitebridge,6.6,Customer Visit
"Tuesday, March 1, 2016","Tuesday, March 1, 2016",Business,Whitebridge,Wayne Ridge,8,Meal/Entertain
"Tuesday, March 1, 2016","Tuesday, March 1, 2016",Business,Wayne Ridge,Whitebridge,8,Meeting
"Thursday, March 3, 2016","Thursday, March 3, 2016",Personal,Whitebridge,Westpark Place,2.2,
"Thursday, March 3, 2016","Thursday, March 3, 2016",Business,Westpark Place,Whitebridge,2.3,Errand/Supplies
"Thursday, March 3, 2016","Thursday, March 3, 2016",Business,Whitebridge,Northwoods,5.2,Meal/Entertain
"Thursday, March 3, 2016","Thursday, March 3, 2016",Business,Cary,Raleigh,7.6,Customer Visit
"Thursday, March 3, 2016","Thursday, March 3, 2016",Business,Raleigh,Cary,17.3,Meeting
"Friday, March 4, 2016","Friday, March 4, 2016",Business,Cary,Durham,9.9,Meeting
"Friday, March 4, 2016","Friday, March 4, 2016",Business,Durham,Cary,9.9,Customer Visit
"Friday, March 4, 2016","Friday, March 4, 2016",Business,Cary,Durham,10.4,Meeting
"Friday, March 4, 2016","Friday, March 4, 2016",Business,Durham,Cary,10.9,Meeting
"Friday, March 4, 2016","Friday, March 4, 2016",Business,Cary,Raleigh,15.7,Customer Visit
"Friday, March 4, 2016","Friday, March 4, 2016",Business,Raleigh,Raleigh,4.9,Meal/Entertain
"Friday, March 4, 2016","Friday, March 4, 2016",Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies
"Friday, March 4, 2016","Friday, March 4, 2016",Business,Raleigh,Cary,13.5,Meeting
"Friday, March 4, 2016","Friday, March 4, 2016",Business,Cary,Morrisville,1.9,Temporary Site
"Friday, March 4, 2016","Friday, March 4, 2016",Business,Morrisville,Cary,2,Meal/Entertain
"Saturday, March 5, 2016","Saturday, March 5, 2016",Business,Cary,Morrisville,6.5,Meal/Entertain
"Saturday, March 5, 2016","Saturday, March 5, 2016",Personal,Weston,Weston,4.2,
"Saturday, March 5, 2016","Saturday, March 5, 2016",Personal,Morrisville,Cary,3.5,
"Saturday, March 5, 2016","Saturday, March 5, 2016",Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain
"Saturday, March 5, 2016","Saturday, March 5, 2016",Business,Cary,Morrisville,7.8,Meal/Entertain
"Saturday, March 5, 2016","Saturday, March 5, 2016",Business,Morrisville,Cary,3.9,Meal/Entertain
"Monday, March 7, 2016","Monday, March 7, 2016",Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies
"Monday, March 7, 2016","Monday, March 7, 2016",Business,Cary,Raleigh,12.4,Customer Visit
"Monday, March 7, 2016","Monday, March 7, 2016",Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit
"Monday, March 7, 2016","Monday, March 7, 2016",Business,Meredith Townes,Leesville Hollow,9.4,Meeting
"Monday, March 7, 2016","Monday, March 7, 2016",Business,Raleigh,Cary,11.9,Between Offices
"Tuesday, March 8, 2016","Tuesday, March 8, 2016",Business,Whitebridge,Waverly Place,7.2,Between Offices
"Tuesday, March 8, 2016","Tuesday, March 8, 2016",Business,Waverly Place,Whitebridge,7.6,Meal/Entertain
"Tuesday, March 8, 2016","Tuesday, March 8, 2016",Personal,Whitebridge,Whitebridge,1.6,
"Thursday, March 10, 2016","Thursday, March 10, 2016",Business,Cary,Morrisville,8.4,Meeting
"Thursday, March 10, 2016","Thursday, March 10, 2016",Business,East Austin,West University,12.8,Meeting
"Thursday, March 10, 2016","Thursday, March 10, 2016",Business,West University,South Congress,2.3,
"Thursday, March 10, 2016","Thursday, March 10, 2016",Business,South Congress,Arts District,1.6,
"Friday, March 11, 2016","Friday, March 11, 2016",Business,The Drag,Congress Ave District,2,Meal/Entertain
"Friday, March 11, 2016","Friday, March 11, 2016",Business,Congress Ave District,Downtown,0.8,
"Friday, March 11, 2016","Friday, March 11, 2016",Business,Downtown,Red River District,1.2,
"Friday, March 11, 2016","Friday, March 11, 2016",Business,Red River District,Downtown,1,
"Friday, March 11, 2016","Friday, March 11, 2016",Business,South Congress,The Drag,2.1,
"Saturday, March 12, 2016","Saturday, March 12, 2016",Business,The Drag,South Congress,2.2,
"Saturday, March 12, 2016","Saturday, March 12, 2016",Personal,South Congress,The Drag,1.9,
"Sunday, March 13, 2016","Sunday, March 13, 2016",Business,The Drag,Convention Center District,5.7,Meal/Entertain
"Sunday, March 13, 2016","Sunday, March 13, 2016",Business,South Congress,North Austin,8.4,Meal/Entertain
"Sunday, March 13, 2016","Sunday, March 13, 2016",Business,Georgian Acres,The Drag,6.2,Meal/Entertain
"Sunday, March 13, 2016","Sunday, March 13, 2016",Business,The Drag,North Austin,10.5,Meal/Entertain
"Sunday, March 13, 2016","Sunday, March 13, 2016",Business,North Austin,Coxville,7.2,Meal/Entertain
"Sunday, March 13, 2016","Sunday, March 13, 2016",Business,Coxville,The Drag,12.5,
"Monday, March 14, 2016","Monday, March 14, 2016",Business,The Drag,South Congress,2,Errand/Supplies
"Monday, March 14, 2016","Monday, March 14, 2016",Business,South Congress,The Drag,2.7,
"Tuesday, March 15, 2016","Tuesday, March 15, 2016",Business,The Drag,Convention Center District,2,Meal/Entertain
"Tuesday, March 15, 2016","Tuesday, March 15, 2016",Business,Downtown,The Drag,2.8,Meal/Entertain
"Wednesday, March 16, 2016","Wednesday, March 16, 2016",Business,The Drag,Congress Ave District,1.7,Meal/Entertain
"Wednesday, March 16, 2016","Wednesday, March 16, 2016",Business,Convention Center District,West University,2,
"Wednesday, March 16, 2016","Wednesday, March 16, 2016",Business,West University,Congress Ave District,2.1,Meal/Entertain
"Thursday, March 17, 2016","Thursday, March 17, 2016",Personal,Downtown,The Drag,1.7,
"Thursday, March 17, 2016","Thursday, March 17, 2016",Business,Austin,Katy,136,Customer Visit
"Thursday, March 17, 2016","Thursday, March 17, 2016",Business,Katy,Houston,30.2,Meeting
"Thursday, March 17, 2016","Thursday, March 17, 2016",Business,Midtown,Alief,15.5,Meal/Entertain
"Thursday, March 17, 2016","Thursday, March 17, 2016",Personal,Houston,Houston,4.9,
"Thursday, March 17, 2016","Thursday, March 17, 2016",Personal,Houston,Houston,12.6,
"Thursday, March 17, 2016","Thursday, March 17, 2016",Personal,Sharpstown,Midtown,10.4,
"Friday, March 18, 2016","Friday, March 18, 2016",Business,Midtown,Midtown,1.1,Meal/Entertain
"Friday, March 18, 2016","Friday, March 18, 2016",Business,Midtown,Midtown,1.1,Meal/Entertain
"Friday, March 18, 2016","Friday, March 18, 2016",Business,Midtown,Sharpstown,13.2,Meeting
"Friday, March 18, 2016","Friday, March 18, 2016",Business,Sharpstown,Sharpstown,1,Errand/Supplies
"Friday, March 18, 2016","Friday, March 18, 2016",Business,Sharpstown,Midtown,9.2,Customer Visit
"Saturday, March 19, 2016","Saturday, March 19, 2016",Business,Midtown,Sharpstown,9.4,Meal/Entertain
"Saturday, March 19, 2016","Saturday, March 19, 2016",Business,Houston,Sugar Land,12,Customer Visit
"Saturday, March 19, 2016","Saturday, March 19, 2016",Business,Sugar Land,Houston,35.1,Customer Visit
"Saturday, March 19, 2016","Saturday, March 19, 2016",Business,Houston,Galveston,36.5,Meal/Entertain
"Saturday, March 19, 2016","Saturday, March 19, 2016",Business,Galveston,Port Bolivar,3.1,Meal/Entertain
"Saturday, March 19, 2016","Saturday, March 19, 2016",Business,Port Bolivar,Port Bolivar,2.1,Errand/Supplies
"Saturday, March 19, 2016","Saturday, March 19, 2016",Business,Port Bolivar,Port Bolivar,1.2,
"Saturday, March 19, 2016","Saturday, March 19, 2016",Business,Port Bolivar,Galveston,7.5,Meeting
"Saturday, March 19, 2016","Saturday, March 19, 2016",Business,Galveston,Houston,57,Customer Visit
"Sunday, March 20, 2016","Sunday, March 20, 2016",Business,Midtown,Washington Avenue,5.9,Meeting
"Sunday, March 20, 2016","Sunday, March 20, 2016",Business,Washington Avenue,Midtown,6.2,Meeting
"Sunday, March 20, 2016","Sunday, March 20, 2016",Business,Midtown,Sharpstown,10.4,
"Sunday, March 20, 2016","Sunday, March 20, 2016",Personal,Sharpstown,Briar Meadow,1.2,
"Sunday, March 20, 2016","Sunday, March 20, 2016",Business,Briar Meadow,Midtown,9.6,Customer Visit
"Monday, March 21, 2016","Monday, March 21, 2016",Personal,Midtown,Downtown,1,
"Monday, March 21, 2016","Monday, March 21, 2016",Business,Downtown,Midtown,0.9,Meal/Entertain
"Monday, March 21, 2016","Monday, March 21, 2016",Business,Midtown,Sharpstown,8.8,
"Monday, March 21, 2016","Monday, March 21, 2016",Business,Sharpstown,Midtown,25.6,Meal/Entertain
"Tuesday, March 22, 2016","Tuesday, March 22, 2016",Business,Midtown,Greater Greenspoint,23,Meal/Entertain
"Tuesday, March 22, 2016","Tuesday, March 22, 2016",Personal,Morrisville,Cary,8.1,
"Tuesday, March 22, 2016","Tuesday, March 22, 2016",Personal,Whitebridge,Whitebridge,1.4,
"Wednesday, March 23, 2016","Wednesday, March 23, 2016",Personal,Whitebridge,Preston,1.7,
"Wednesday, March 23, 2016","Wednesday, March 23, 2016",Personal,Preston,Whitebridge,1.6,
"Thursday, March 24, 2016","Thursday, March 24, 2016",Personal,Whitebridge,Westpark Place,2,
"Thursday, March 24, 2016","Thursday, March 24, 2016",Business,Westpark Place,Whitebridge,2.2,
"Friday, March 25, 2016","Friday, March 25, 2016",Business,Cary,Latta,144,Customer Visit
"Friday, March 25, 2016","Friday, March 25, 2016",Business,Latta,Jacksonville,310.3,Customer Visit
"Friday, March 25, 2016","Saturday, March 26, 2016",Business,Jacksonville,Kissimmee,201,Meeting
"Saturday, March 26, 2016","Saturday, March 26, 2016",Personal,Couples Glen,Isles of Buena Vista,6.7,
